Date,Day,Status,In Time,Out Time,Total Hours,Total Attendance Hours,Total Time Sheet Hours,Attendance status implying leave debit
14-May-14,Wednesday,Present,10:08,20:00,9.87,9.87,NA,No leave debit
15-May-14,Thursday,Present,9:10,19:58,10.8,10.8,NA,No leave debit
16-May-14,Friday,Present,8:59,19:19,10.33,10.33,NA,No leave debit
17-May-14,Saturday,Weekly Off,--,--,--,0,NA,NA
18-May-14,Sunday,Weekly Off,--,--,--,0,NA,NA
19-May-14,Monday,Present,9:27,18:41,9.23,9.23,NA,No leave debit
20-May-14,Tuesday,Present,9:10,19:31,10.35,10.35,NA,No leave debit
21-May-14,Wednesday,Present,9:28,19:12,9.73,9.73,NA,No leave debit
22-May-14,Thursday,Present,9:58,19:25,9.45,9.45,NA,No leave debit
23-May-14,Friday,Present,9:29,18:11,8.7,8.7,NA,No leave debit
24-May-14,Saturday,Weekly Off,--,--,--,0,NA,NA
25-May-14,Sunday,Weekly Off,--,--,--,0,NA,NA
26-May-14,Monday,Present,9:28,18:34,9.1,9.1,NA,No leave debit
27-May-14,Tuesday,Present,10:04,18:25,8.35,8.35,NA,No leave debit
28-May-14,Wednesday,Present,8:52,18:20,9.47,9.47,NA,No leave debit
29-May-14,Thursday,Present,8:21,18:27,10.1,10.1,NA,No leave debit
30-May-14,Friday,Present,9:31,19:53,10.37,10.37,NA,No leave debit
31-May-14,Saturday,Weekly Off,--,--,--,0,NA,NA
1-Jun-14,Sunday,Weekly Off,--,--,--,0,NA,NA
2-Jun-14,Monday,Present,9:23,19:17,9.9,9.9,NA,No leave debit
3-Jun-14,Tuesday,Present,9:28,19:28,10,10,NA,No leave debit
4-Jun-14,Wednesday,Present,9:49,18:36,8.78,8.78,NA,No leave debit
5-Jun-14,Thursday,Present,9:25,19:37,10.2,10.2,NA,No leave debit
6-Jun-14,Friday,Present,9:18,20:08,10.83,10.83,NA,No leave debit
7-Jun-14,Saturday,Weekly Off,8:03,9:05,1.03,1.03,NA,NA
8-Jun-14,Sunday,Weekly Off,7:42,12:03,4.35,4.35,NA,NA
9-Jun-14,Monday,Present,9:21,19:59,10.63,10.63,NA,No leave debit
10-Jun-14,Tuesday,Present,9:15,19:25,10.17,10.17,NA,No leave debit
11-Jun-14,Wednesday,Present,9:17,20:27,11.17,11.17,NA,No leave debit
12-Jun-14,Thursday,Present,8:41,20:49,12.13,12.13,NA,No leave debit
13-Jun-14,Friday,Present,8:43,18:27,9.73,9.73,NA,No leave debit
14-Jun-14,Saturday,Weekly Off,8:31,12:22,3.85,3.85,NA,NA
15-Jun-14,Sunday,Weekly Off,8:55,10:35,1.67,1.67,NA,NA
16-Jun-14,Monday,Present,9:43,18:12,8.48,8.48,NA,No leave debit
17-Jun-14,Tuesday,Present,8:39,21:27,12.8,12.8,NA,No leave debit
18-Jun-14,Wednesday,Present,9:14,19:02,9.8,9.8,NA,No leave debit
19-Jun-14,Thursday,Present,9:15,19:50,10.58,10.58,NA,No leave debit
20-Jun-14,Friday,Present,9:16,18:38,9.37,9.37,NA,No leave debit
21-Jun-14,Saturday,Weekly Off,8:36,11:08,2.53,2.53,NA,NA
