time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-06-25T23:30:39.940Z,36.4281,70.6652,204.85,5.2,mww,,24,0.699,0.68,us,us20009pnr,2017-06-27T03:21:16.206Z,"45km NNW of `Alaqahdari-ye Kiran wa Munjan, Afghanistan",earthquake,5.9,3.6,0.062,25,reviewed,us,us
2017-06-25T22:08:29.570Z,-42.3028,-72.3492,18.61,4.9,mb,,71,0.953,0.74,us,us20009pnk,2017-06-27T20:54:43.258Z,"65km WSW of Lago Puelo, Argentina",earthquake,5.9,4.7,0.076,54,reviewed,us,us
2017-06-25T20:29:37.260Z,12.9142,145.7224,36.8,4.6,mb,,120,1.068,0.84,us,us20009pn2,2017-06-25T20:51:39.040Z,"112km ESE of Inarajan Village, Guam",earthquake,6.8,7.6,0.087,39,reviewed,us,us
2017-06-25T17:42:30.040Z,-19.6664,-176.4629,38.27,6.2,mww,,80,5.537,0.88,us,us20009pmr,2017-06-27T03:25:35.040Z,"209km NW of Nuku`alofa, Tonga",earthquake,12.1,6.1,,,reviewed,us,us
2017-06-25T15:44:16.760Z,6.2685,94.2948,82.02,4.5,mb,,59,2.834,0.62,us,us20009pmk,2017-06-25T16:22:30.040Z,"120km WNW of Sabang, Indonesia",earthquake,8.8,7.5,0.087,39,reviewed,us,us
2017-06-25T14:14:06.000Z,-22.367,-68.804,100.8,4.6,mb,,,,0.74,us,us20009pme,2017-06-25T18:29:23.944Z,"17km NE of Calama, Chile",earthquake,5.3,5.4,0.157,12,reviewed,guc,us
2017-06-25T09:45:50.780Z,-41.3049,-90.6283,10,5,mb,,149,14.041,1.11,us,us20009plm,2017-06-25T10:04:29.040Z,"Southeast of Easter Island",earthquake,12.9,1.9,0.045,160,reviewed,us,us
2017-06-25T08:47:05.710Z,51.9763,-170.7531,36.18,4.7,mb,,174,0.998,0.73,us,us20009plg,2017-06-25T23:22:59.870Z,"66km SSE of Amukta Island, Alaska",earthquake,9.2,7.5,0.036,241,reviewed,us,us
2017-06-25T07:36:48.570Z,4.56,125.5907,150.58,4.5,mb,,112,2.493,1.08,us,us20009pld,2017-06-25T07:58:35.040Z,"94km S of Sarangani, Philippines",earthquake,8.3,7.4,0.075,52,reviewed,us,us
2017-06-25T06:30:25.440Z,-1.3066,120.6264,10,4.7,mb,,80,2.16,0.97,us,us20009pla,2017-06-25T07:00:36.040Z,"13km NNW of Kasiguncu, Indonesia",earthquake,5.9,1.9,0.083,44,reviewed,us,us
