"","date","views"
"666",2017-04-26,18528
"667",2017-04-27,21349
"668",2017-04-28,10732
"669",2017-04-29,9640
"670",2017-04-30,16395
"671",2017-05-01,17634
"672",2017-05-02,10016
"673",2017-05-03,7908
"674",2017-05-04,8147
"675",2017-05-05,10499
"676",2017-05-06,13562
"677",2017-05-07,12170
"678",2017-05-08,9547
"679",2017-05-09,7880
"680",2017-05-10,7104
"681",2017-05-11,6858
"682",2017-05-12,8024
"683",2017-05-13,9657
"684",2017-05-14,10825
"685",2017-05-15,8737
"686",2017-05-16,7015
"687",2017-05-17,6834
"688",2017-05-18,6266
"689",2017-05-19,8558
"690",2017-05-20,10628
"691",2017-05-21,9260
"692",2017-05-22,8228
"693",2017-05-23,6293
"694",2017-05-24,6263
"695",2017-05-25,6064
"696",2017-05-26,6600
"697",2017-05-27,7771
"698",2017-05-28,17147
"699",2017-05-29,18564
"700",2017-05-30,8761
"701",2017-05-31,7508
"702",2017-06-01,6453
"703",2017-06-02,6845
"704",2017-06-03,7674
"705",2017-06-04,8679
"706",2017-06-05,10066
"707",2017-06-06,9469
"708",2017-06-07,6911
"709",2017-06-08,6198
"710",2017-06-09,6860
"711",2017-06-10,8867
"712",2017-06-11,15298
"713",2017-06-12,7454
"714",2017-06-13,7008
"715",2017-06-14,6884
"716",2017-06-15,6515
"717",2017-06-16,8253
"718",2017-06-17,8210
"719",2017-06-18,9041
"720",2017-06-19,10645
"721",2017-06-20,9721
"722",2017-06-21,7195
"723",2017-06-22,6662
"724",2017-06-23,7435
"725",2017-06-24,8528
"726",2017-06-25,8633
"727",2017-06-26,7418
"728",2017-06-27,7334
"729",2017-06-28,6652
"730",2017-06-29,6660
"731",2017-06-30,6999
"732",2017-07-01,7976
"733",2017-07-02,8540
"734",2017-07-03,7423
"735",2017-07-04,8708
"736",2017-07-05,7832
"737",2017-07-06,6808
"738",2017-07-07,7625
"739",2017-07-08,8167
"740",2017-07-09,9445
"741",2017-07-10,7588
"742",2017-07-11,7833
"743",2017-07-12,7076
"744",2017-07-13,10021
"745",2017-07-14,10779
"746",2017-07-15,16835
"747",2017-07-16,14165
"748",2017-07-17,10339
"749",2017-07-18,7811
"750",2017-07-19,7656
"751",2017-07-20,7210
"752",2017-07-21,10283
"753",2017-07-22,11466
"754",2017-07-23,11337
"755",2017-07-24,8959
"756",2017-07-25,8426
"757",2017-07-26,7972
"758",2017-07-27,7404
"759",2017-07-28,8222
"760",2017-07-29,9578
"761",2017-07-30,9446
"762",2017-07-31,8553
"763",2017-08-01,8881
"764",2017-08-02,7220
"765",2017-08-03,7571
"766",2017-08-04,7111
"767",2017-08-05,7176
"768",2017-08-06,9274
"769",2017-08-07,8573
"770",2017-08-08,7595
"771",2017-08-09,8145
"772",2017-08-10,6883
"773",2017-08-11,7366
"774",2017-08-12,10049
"775",2017-08-13,8999
"776",2017-08-14,7220
"777",2017-08-15,10272
"778",2017-08-16,7175
"779",2017-08-17,7408
"780",2017-08-18,6600
"781",2017-08-19,8970
"782",2017-08-20,9867
"783",2017-08-21,7331
"784",2017-08-22,6854
"785",2017-08-23,10025
"786",2017-08-24,12079
"787",2017-08-25,7919
"788",2017-08-26,9281
"789",2017-08-27,8699
"790",2017-08-28,8417
"791",2017-08-29,6786
"792",2017-08-30,6311
"793",2017-08-31,7039
"794",2017-09-01,6637
"795",2017-09-02,9460
"796",2017-09-03,8815
"797",2017-09-04,8279
"798",2017-09-05,6918
"799",2017-09-06,7488
"800",2017-09-07,6622
"801",2017-09-08,8043
"802",2017-09-09,8961
"803",2017-09-10,8217
"804",2017-09-11,6617
"805",2017-09-12,6038
"806",2017-09-13,6893
"807",2017-09-14,7216
"808",2017-09-15,6543
"809",2017-09-16,8153
"810",2017-09-17,8232
"811",2017-09-18,6961
"812",2017-09-19,6741
"813",2017-09-20,6205
"814",2017-09-21,7051
"815",2017-09-22,6784
"816",2017-09-23,7419
"817",2017-09-24,8101
"818",2017-09-25,6882
"819",2017-09-26,6368
"820",2017-09-27,6288
"821",2017-09-28,6331
"822",2017-09-29,8123
"823",2017-09-30,7398
"824",2017-10-01,11003
"825",2017-10-02,8392
"826",2017-10-03,10274
"827",2017-10-04,11998
"828",2017-10-05,7484
"829",2017-10-06,7170
"830",2017-10-07,9595
"831",2017-10-08,10015
"832",2017-10-09,7703
"833",2017-10-10,8137
"834",2017-10-11,6793
"835",2017-10-12,8274
"836",2017-10-13,10374
"837",2017-10-14,9444
"838",2017-10-15,10383
"839",2017-10-16,9192
"840",2017-10-17,6886
"841",2017-10-18,6822
"842",2017-10-19,6779
"843",2017-10-20,6940
"844",2017-10-21,8655
"845",2017-10-22,9114
"846",2017-10-23,7367
"847",2017-10-24,6345
"848",2017-10-25,6315
"849",2017-10-26,6882
"850",2017-10-27,7425
"851",2017-10-28,7395
"852",2017-10-29,8373
"853",2017-10-30,6950
"854",2017-10-31,5984
"855",2017-11-01,8130
"856",2017-11-02,8683
"857",2017-11-03,6565
"858",2017-11-04,8935
"859",2017-11-05,8607
"860",2017-11-06,7535
"861",2017-11-07,6503
"862",2017-11-08,6233
"863",2017-11-09,6091
"864",2017-11-10,6338
"865",2017-11-11,8125
"866",2017-11-12,9214
"867",2017-11-13,7145
"868",2017-11-14,6718
"869",2017-11-15,6565
"870",2017-11-16,6277
"871",2017-11-17,7229
"872",2017-11-18,7559
